Mask Number,Area (px^2),Center X (px),Center Y (px),DAPI - Clean Intensity (Magnitude/px^2),DAPI - Clean Standard Deviation (Magnitude),DAPI - Clean Background Intensity (Magnitude/px^2),FITC - Clean Intensity (Magnitude/px^2),FITC - Clean Standard Deviation (Magnitude),FITC - Clean Background Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Intensity (Magnitude/px^2),Alexa 594 Clean (620-60) Standard Deviation (Magnitude),Alexa 594 Clean (620-60) Background Intensity (Magnitude/px^2)
571,459,1402,1128,141.5511983,30.45261,263.0697168,208.1089325,39.98975178,138.3594771,72.17864924,15.02743857,98
572,428,1829,1126,170.7406542,48.26149043,244.8668224,394.0186916,132.3276737,133,119.8060748,38.12529891,92
573,175,1385,1123,169.5142857,37.40595213,267.8,261.4457143,61.54884213,135.5314286,103.3085714,29.95315664,98
574,328,1954,1131,274.8932927,88.01141963,235.7896341,885.6036585,378.0280011,132.9054878,251.9237805,111.3442892,87
575,300,1489,1134,210.54,69.98519958,269.76,381.2466667,125.4680034,144,138.9233333,52.2185796,98
576,521,1904.5,1133.5,161,35.02471655,243.6852207,341.0998081,72.35735051,133,115.2476008,29.90404718,92
577,145,1491,1135,206.137931,41.72090148,269.5034483,222.8965517,37.62935544,144,121.0758621,24.01737877,98
578,192,798,1139,167.0208333,34.71332987,272.6145833,408.7083333,100.5808176,119.7083333,128.09375,25.92339828,77.703125
579,295,1584,1140,173.6915254,54.29501577,266.0169492,412.2271186,139.0807501,134,129.2101695,48.99489663,96
580,636,1807,1140,191.7075472,51.61782033,251,459.4371069,137.3653699,133,143.2515723,38.41529691,92
581,307,1629.5,1151,213.8403909,63.62562015,260,440.990228,123.9338187,134,163.2899023,54.18074323,96
582,528,1017,1129,293.0700758,85.49687797,273.1496212,602.8617424,213.7953716,120.9261364,208.2708333,76.28949994,87.33333333
583,184,1769,1144,105.6086957,26.31563624,251.5217391,301.1956522,51.46142683,133,66.91304348,13.17030289,92
584,455,1442,1133,203.5516484,66.9409388,267.4835165,419.9296703,166.7273074,140.4637363,131.9032967,56.52533924,98
585,309,1529,1146,296.3624595,120.1892637,268,395.1165049,180.1993648,139.236246,201.3009709,110.0705059,93.49190939
586,280,1469,1140,212.8821429,71.65526568,267.325,348.7321429,111.1882854,143.2071429,130.4892857,55.78735767,98
587,186,1336,1151,129.3387097,29.92853301,268,224.4354839,36.41277811,128.6505376,83.7311828,17.09125889,89
588,218,2031,1152,105.4954128,27.97649568,230,320.5642202,92.49091625,129.0183486,84.83944954,22.71942476,87
589,465,1112,1156,240.6752688,92.5975018,275.8408602,591.4989247,267.4683362,130.6666667,151.1677419,88.18846047,99
590,1575,1183,1156.5,278.0196825,70.73311145,271.215873,546.3993651,114.8384806,131.0253968,167.6019048,47.45206499,98.86222222
591,287,1690,1158,252.3867596,80.90117579,260,562.8118467,242.743554,133,211.4773519,97.12096132,85
592,581,1813,1158,183.757315,41.64548205,251,457.0327022,143.3537004,133,131.0654045,39.39174416,92
593,400,1163.5,1153.5,310.92,74.91380912,277,636.5325,168.2724368,131,198.4675,59.06068366,99
594,279,1628,1152,201.4802867,47.77426091,260,628.4050179,185.9095204,133.6415771,123.0179211,40.2916932,96
595,301,1911,1162,180.7541528,52.53836082,242,398.2724252,149.2974398,133,138.2990033,56.48312697,92
596,320,1849,1167,200.740625,72.92529505,243.0375,404.390625,141.579316,133,148.671875,67.2438259,92
597,431,1409,1170,204.9930394,62.74742613,268,437.1832947,145.4852547,133,136.7842227,50.01945976,97.53596288
598,356,1726,1175,271.2837079,101.0315297,255.9213483,1017.308989,449.0054362,130.7303371,201.2050562,88.57672779,85
599,384,1789,1177,251.2057292,70.05046199,251,692.6744792,266.862646,133,207.1666667,80.35936474,92
600,246,1585,1180,184.0487805,53.04181695,256,433.0569106,150.4096339,133,124.5365854,45.29969008,96
601,528,1879,1180,334.3560606,160.7839019,242,861.0265152,432.9664974,133,275.2234848,162.6242198,92
602,199,1211,1185,159.1909548,32.32667408,264.1758794,274.4623116,63.4755766,131,91.15075377,23.72692685,98
603,308,1408,1198,229.0584416,60.87464955,268,368.8831169,66.01692094,133,145.7694805,48.7902722,94
604,135,1429,1188,255.7851852,145.5914025,268,501.0814815,185.6230353,133,172.5703704,108.8521207,94.53333333
605,279,1613,1188,133.0896057,32.91305091,256,369.3476703,110.3483574,133,72.35125448,21.25771777,96
606,336,1983,1191,122.3333333,31.30393455,237,247.0863095,70.13518922,133,90.45535714,25.58925441,93.33928571
607,30,978,1193,124.0666667,30.43243883,269,177.9333333,21.40566044,114.6,69.1,8.833127302,90
608,243,1335,1195,182.5185185,46.70819679,268,378.7695473,112.2245958,129,135.2304527,37.67340594,83.9382716
609,289,1896,1196,143.1107266,36.86463869,240.4844291,242.7439446,67.12392798,133,100.9446367,29.99196155,92
610,407,1925,1203,238.980344,78.30878381,237,668.7788698,270.1465762,133,203.1179361,90.31008894,89.05896806
611,738,1471,1203,206.1639566,67.4307239,268,343.2886179,83.86826205,133,127.3346883,40.89375206,94
612,379,1755,1203,296.9525066,99.37312968,254,837.4960422,312.4230476,131.3905013,253.8865435,103.6005776,91.47229551
613,313,1787,1203,126.0894569,28.74665506,251,245.5846645,61.75489201,132.6677316,86.9201278,20.08164451,92
614,809,1702,1204,466.2163164,220.6459384,255.6761434,1591.10136,839.6996632,125.0222497,382.3003708,227.8601219,83.86773795
615,255,1024,1204,171.9058824,38.99453531,271,297.8078431,54.07014926,115,111.1254902,32.49772762,90
616,354,1164,1205,130.3446328,35.0354719,283,240.8813559,74.73498062,136,89.40112994,28.49825001,97.15819209
617,283,1921,1206,161.0353357,44.49630021,237,320.4381625,82.14439086,133,115.7809187,32.04553592,89.39222615
618,425,1863,1207,385.5835294,172.6951268,240.1529412,907.1270588,429.8877133,133,315.9576471,181.0456606,92.57411765
619,297,1407,1199,166.9393939,40.60325963,268,411.3838384,105.2891489,133,77.61279461,23.11753688,94
620,243,1393.5,1209,130.5020576,29.38985242,268,368.1975309,85.30612155,133,62.8436214,14.16579188,92.18930041
621,273,1112,1212,135.8937729,33.50230015,282.5018315,218.7326007,46.21558656,134.6703297,84.97802198,19.44183143,92.6996337
622,238,812,1214,155.1680672,34.36201399,275,289.4621849,67.26856432,125,99.14705882,23.90539132,94.58403361
623,335,1005,1214,176.6298507,48.69863643,271,321.9134328,86.30607159,115,115.358209,46.13787639,90
624,315,1348,1214,168.1619048,34.071335,263.2253968,370.9492063,94.12996144,129,114.5079365,28.67547001,85.74920635
625,359,775,1226,300.1587744,82.17813377,275,770.356546,259.704615,125,214.2005571,75.77748888,95
626,222,1133,1216,134,31.92907865,283,230.3828829,41.01409398,136.045045,80.43243243,17.73975856,95.98648649
627,250,1565,1223.5,210.284,55.14350887,259.764,589.116,215.1938291,129,158.128,56.36926104,93.028
628,329,1948,1216,185.449848,41.48028559,237,482.4194529,130.3459529,133,157.1489362,47.40740983,87.24316109
629,677,2037,1233,150.4490399,51.03212081,232.2215657,350.4194978,106.3828276,129.7592319,114.8581979,45.90655525,98.57902511
630,505,1817,1224,133.0316832,36.40783899,246.2772277,359.0613861,111.7509552,133,71.36435644,22.28757566,95.52475248
631,347,1999,1222,139.6829971,44.07072383,236.9884726,297.1930836,80.27910243,133,106.9020173,37.79801309,95.70028818
632,338,1966,1226,228.1952663,92.13757473,237,634.0295858,286.0284671,133,193.5295858,104.1347308,93.76923077
633,294,1446,1225,309.6190476,101.8169631,268,614.8061224,232.7818117,133,218.4387755,95.54704,94
634,312,1041,1226,170.0544872,41.81439904,271.8653846,278.1410256,80.70680123,118.1346154,108.1474359,31.30696572,90
635,246,1204,1233,211.3252033,71.0214105,291.4552846,483.1869919,138.6646431,140.9390244,160.9756098,60.21139134,96
636,226,1555,1237,177.7035398,38.72783307,260,497.6769912,128.7215327,127.8672566,130.1415929,28.96415171,86.19469027
637,256,1809,1229,112.453125,28.08903474,247.71875,207.5820313,39.01856156,132.4921875,66.98046875,14.03034559,95.796875
638,211,1386.5,1230,173.92891,34.97141238,268,200.4739336,38.76157932,133,114.6824645,28.54801512,89
639,369,1953,1222,223.7669377,52.43800575,237,555.1084011,158.539493,133,168.3821138,52.77559965,90.83739837
640,168,873,1233,124.9047619,28.54752065,275,210.0892857,32.43248729,125,77.75,15.99990644,92
641,257,1576,1233,206.2178988,43.07459907,257.463035,345.9688716,81.11834889,129,140.0155642,42.68058773,87.38910506
642,293,1191,1233,139.5221843,37.76872237,291.3617747,288.6040956,86.51993347,141,97.67235495,26.29212511,96
643,417,1947,1230,260.2757794,114.0479749,237,679.7889688,256.2691429,133,226.3021583,102.7783969,80.81294964
644,143,2020,1237,110.1678322,26.82099924,235,254.4685315,42.07652388,130.1188811,78.22377622,19.22821415,99
645,284,1222,1247,202.4577465,55.47388183,292,499.4788732,153.9823641,141,140.556338,56.60513838,96
646,808,1127,1240,309.7289604,112.2562326,283,815.4269802,274.1466962,139,205.5532178,85.53292164,97.94183168
647,831,772,1225,315.3020457,91.71035591,273.1588448,602.2033694,215.1418043,125,205.2839952,78.38687634,95
648,235,2041,1242,170.0723404,63.11540678,232,374.2297872,115.1413028,129.8297872,150.0468085,54.31344945,99
649,117,1294,1243,110.8974359,28.42151462,275.4615385,193.4615385,25.78810821,123.025641,75.90598291,12.9661249,88.44444444
650,548,1265,1244,282.5620438,98.05627316,291.1222628,722.6021898,287.9389068,139.7864964,215.7919708,98.1320258,96
651,427,1887,1245,144.5339578,40.31950615,238.0913349,239.2599532,67.19497496,133,96.41217799,33.6640213,95.44262295
652,620,1999.5,1233,187.8693548,86.37651376,235.7822581,510.5822581,225.3436034,132.2532258,154.4725806,91.68771659,99
653,331,1075,1247,165.8519637,43.84786876,283,320.8851964,100.1627711,136.2416918,117.2930514,36.11230689,91.90634441
654,364,1556,1247,247.0384615,74.5908853,260,821.3406593,363.4760092,127.0137363,179.8296703,70.81605084,85
655,297,1805,1251,106.7272727,27.78579437,254,206.6464646,50.78558128,131.1077441,67.003367,17.64524634,96
656,35,735,1252,129.3428571,25.2888523,260,194.5428571,21.62017421,123,68.11428571,10.64610238,95
657,312,1232,1257,152.7275641,39.1542355,292,357.9358974,56.95507108,141,105.9871795,26.90808152,96
658,363,1049,1254,202.4352617,55.88715022,280.8402204,428.8650138,152.8628135,134.4600551,144.3829201,52.90786775,90
659,501,1837,1254,163.0958084,54.17119901,253.8343313,179.1876248,63.90549841,134.3892216,107.5169661,45.23620465,96
660,490,1132,1270,253.3469388,54.45496855,283,684.9204082,176.6059812,139.3020408,140.3244898,42.81112287,99
661,366,1942,1260,172.1174863,51.57810803,236.9071038,303.6010929,72.52453075,133,129.7103825,46.98001034,82.1284153
662,131,1093,1262,195.8931298,44.69662729,283,266.8244275,54.79703542,139,123.1755725,30.08947706,99
663,260,1455,1264,132.1230769,36.48504541,268,385.9692308,130.1048546,133,68.43846154,17.29954308,89
664,223,1597,1264,185.8116592,50.77179511,255,295.4439462,91.67247441,127,140.3946188,50.65842484,85
665,224,1691,1263,142.5982143,32.79846322,249.2142857,330.9821429,73.67282931,124,93.94196429,22.02060241,88
666,462,1240,1265,271.8138528,89.53582387,292,661.1363636,233.4535604,141,201.1363636,85.1689454,96
667,324,1516,1265,134.2777778,32.77982654,262.1141975,274.0617284,78.01977929,128.9506173,93.19753086,26.25767516,89
668,278,716,1270,284.442446,66.78367954,259.618705,587.7841727,169.5163544,118,197.9820144,61.89454494,95
669,97,1878,1271,111.8041237,26.30535401,251.7525773,194.185567,33.88378727,138.2989691,74.45360825,14.84995835,96
670,559,1636,1274,184.0751342,54.29655798,253.4168157,434.0518784,156.6068262,125.490161,140.1109123,52.17270609,85
671,132,2041,1281,299.6893939,144.783868,230.2272727,1130.636364,587.3843595,134.6287879,359.6893939,194.2896293,99
672,360,844,1276,159.7444444,32.39899621,273.4916667,244.3138889,42.79892517,125,100.0027778,23.23724062,91
673,228,1747,1284,214.9429825,60.81836389,254,498.5964912,110.6855067,126.5307018,178.872807,50.89530203,94.31578947
674,452,1264,1279,427.8893805,178.1109203,292,933.4513274,495.9206403,140.3163717,325.6415929,182.5955749,96
675,224,1807,1279,95.28571429,26.06663712,254,257.7857143,61.50896665,135,51.61607143,13.71408594,97.59375
676,529,1131.5,1291,218.2816635,46.00689655,283.1663516,576.3837429,126.4532575,139.2268431,139.8449905,43.48726932,99
677,297,1120,1286.5,163.6531987,39.66018152,283,338.0875421,66.98778943,139,98.41077441,24.2280749,99
678,137,1744,1287,140.1605839,33.79963313,254,380.8613139,75.71154455,129.919708,102.4963504,18.9411333,89.45985401
